评论,图片
好久没去洗牙了，在网上看到这家口腔，感觉还不错，感觉医生挺专业的，洗牙过程中没有不适感。前台几个护士小姐姐都挺漂亮，又很热情，推荐大家过来看看,"[{'id': 1587488608, 'url': 'http://p0.meituan.net/shaitu/587bb2ad372dcaaff353a8f708cee48c263312.jpg'}, {'id': 1587553798, 'url': 'http://p1.meituan.net/shaitu/6244e6170e7ece1a4d8726fb8a53159582135.jpg'}, {'id': 1587231165, 'url': 'http://p0.meituan.net/shaitu/8c817f0af5b18edfe9b7af7c2812a5c9297147.jpg'}]"
节假日，准备去洗牙，第一次来这家洗，医生挺细心的，不说我还不知道我刷牙方法不对把牙齿刷伤了，洗牙的过程中也没啥不适感，前台姐姐服务很挺好的，交代了注意事项，还有正常的刷牙方法。,"[{'id': 1617623060, 'url': 'http://p0.meituan.net/shaitu/2b7edb3826cb6a0958d7220fde8981fd339465.jpg'}]"
第一次洗牙，有点儿紧张，医院环境挺好的，医生洗的也很干净，没有隐形消费，推荐,"[{'id': 1631681607, 'url': 'http://p0.meituan.net/shaitu/b04ba3e805d90b8862d7dd147c4ae4bf621637.jpg'}]"
医生挺细心的，洗的很干净，刚开始的时候还担心洗牙会痛，整个洗牙过程中没有不舒服，非常的棒，比一般的洗牙洗的干净细致，赞,[]
节假日跟同事一起过来洗个牙，服务挺不错，医生洗的也很干净，前台小姐姐还给交代了注意事项，细心！,"[{'id': 1549116975, 'url': 'http://p0.meituan.net/shaitu/71ef78ba8a6c72f2ec1b7e4241c40ca93038311.jpg'}, {'id': 1549116974, 'url': 'http://p0.meituan.net/shaitu/4ddb9e16c2bb2f49564116d1d172c2c03304231.jpg'}, {'id': 1549308704, 'url': 'http://p1.meituan.net/shaitu/8c4ad1c6f77fb5362981b49ed4c185763182805.jpg'}]"
以前都是在家楼下洗的，这次朋友介绍过来，体验了感觉还不错，医生洗的很干净，在洗牙的过程中也没不舒服，不错,"[{'id': 1545952887, 'url': 'http://p0.meituan.net/shaitu/2fb94eb1d7d0cafb31a75bf5f51208c71948907.jpg'}, {'id': 1545678245, 'url': 'http://p0.meituan.net/shaitu/b7afe78c21600165d47bf1ae52ca6a3f2029386.jpg'}, {'id': 1545775889, 'url': 'http://p0.meituan.net/shaitu/822117c5bc1d51236ca206ef32c84c202141328.jpg'}]"
先说结果，以免误会。就洗牙结果来看很满意，强烈推荐，以后会定期去。因为抽烟导致有烟渍，加上之前在别的地方第一次洗牙（美哈口腔，已进黑名单）那个女护士敷衍洗了一下，也没有喷砂，导致很多牙结石没洗掉。这次来张志强口腔诊所，首先男医师检查牙齿后跟我说了情况，并且将能看到的牙结石都洗掉了，然后喷砂抛光，烟渍也没了，非常开心。也跟我说了龋齿情况，以及需要补牙的数量这些，会建议趁早补牙，真的非常感谢。选的120的套餐，因为有喷砂需求，而且牙结石明显并且有些发黑，所以建议之前没有定期去洗牙的朋友选120的套餐，当然298的肯定更好些，也可以提前跟他们咨询，再次感谢给我洗牙的医师。另外，那里稍微有点偏，可能是因为附近施工，然后乍一看诊所的门面比较小，反而给人一种酒香不怕巷子深的感觉。就是在那里等了有一个多小时，建议提前准备点自己在等待时可以做的事情，比如带本书、带耳机看视频等,[]
"洗牙是顺便的，主要是牙痛想去看，去过几次，这次体验感最差:
1，医生不专业，不管是看片还是治疗需要一个女医生指导，不知道是不是女医生想显示自己的优越感，自己又不动手
2，拍片要求取首饰没有提供袋子装，做完走了也不给片，发信息要求给电子版才发
3，取牙冠的时候滋的我满脸水，没有一句抱歉
4，缴费的时候没有问我刷不刷医保，直接让我扫码交费
5，退款没有对为什么我交的是支付宝只能退微信作出解释
6，预约下次治疗不问我有没有空，直接定时间
不会再去了",[]
洗牙过程吞了几次水就不说了。你们能不能把上一个客人留在躺椅上的纸巾先清理掉啊，好脏的感觉。,[]
周末约朋友过来洗个牙，挺不错的，之前洗牙会酸，这次没不适感，很专业。,[]
