评论,图片
今天是女儿带我一起来的今天在准备打个眉间纹和鱼尾纹。以前有在这边打过鱼尾纹，效果挺好的，所以这次搞活动又在这边买了一个。商户服务医院服务挺好的，很热情，很细心。想改善的问题主要是想改善一下皱纹的情况。项目效果以前有在这边打过鱼尾纹效果还可以，所以这次美团搞活动，女儿又带我一起来了。医生操作是李院长帮我打的很热很细心不痛。特别专业。术中感受因为有敷麻药，所以打的时候并不痛。,"[{'id': 1832094711, 'url': 'http://p0.meituan.net/shaitu/ffa7c593e9941bd07832869773b0ddd682416.jpg'}, {'id': 1832188523, 'url': 'http://p1.meituan.net/shaitu/1b8c6eedf935721eddb0ff25a2a3042992689.jpg'}, {'id': 1832269188, 'url': 'http://p0.meituan.net/shaitu/6bef41108dfbf113737b70a3bef7d45268915.jpg'}, {'id': 1832188522, 'url': 'http://p1.meituan.net/shaitu/43b0852a9b1d781a4d12c3b0cd6c581260556.jpg'}, {'id': 1832027513, 'url': 'http://p0.meituan.net/shaitu/6d45437e67670ed69328ed95c5ce93d473295.jpg'}, {'id': 1832269189, 'url': 'http://p1.meituan.net/shaitu/8c90c592c4dad91515484c8be5b5fc9978476.jpg'}, {'id': 1832027514, 'url': 'http://p0.meituan.net/shaitu/9f0604c3e7e60bc5f3394bc9fff44358101176.jpg'}, {'id': 1832094712, 'url': 'http://p0.meituan.net/shaitu/cec48d2f59436a851b56a877538c784071309.jpg'}, {'id': 1832341051, 'url': 'http://p0.meituan.net/shaitu/312de7b351f66e217e9d69a75dd3bb8f87841.jpg'}]"
治疗效果今天来做的是医院的超皮秒祛斑项目产品，之前就有过来院治疗，还是比较信任这家医院，所以自己祛斑还是选择了这家医院。给我治疗的医生是一位非常棒的医生，在治疗前都会询问我有没有去暴晒过，还根据我自己的面部情况给我做了一个分析，让我之后在治疗方面要去注意哪些问题，还有就是今天的祛斑效果还不错，也非常推荐大家有皮肤问题的小伙伴一起来感受医院的治疗服务体验院内环境设计的很温馨，医院的服务接待也很好。做治疗前也会带去做一个面部的visia检测，检测也会根据面部情况去分析问题。在等待治疗过程中也会有茶水服务很贴心。也会在治疗结束后关怀疼痛情况院内环境院内设计布局很好，从进来到科室治疗都会有路边指引，也会有院内人员给我咨询问好，其次在从进院就可以感受到细心的装扮，给我的感觉很舒心，非常推荐大家来这家医院做皮肤类的项目治疗,"[{'id': 1794135896, 'url': 'http://p0.meituan.net/shaitu/a4b28b3f42c58843e83fafd7c89b3e29191138.jpg'}, {'id': 1794044476, 'url': 'http://p1.meituan.net/shaitu/7139f12fe6222837e56f39a3f90c4f55178893.jpg'}, {'id': 1793882636, 'url': 'http://p1.meituan.net/shaitu/222984b1a356172667194560e7d28fd0168561.jpg'}, {'id': 1794044475, 'url': 'http://p0.meituan.net/shaitu/23ccc9e60273c872d9d1605fa069c88e1638232.jpg'}, {'id': 1794044477, 'url': 'http://p0.meituan.net/shaitu/673998cf3c47d043a1c33b9e3b0e5b1f120042.jpg'}, {'id': 1793944880, 'url': 'http://p1.meituan.net/shaitu/ad1a541a7216cbfce4133bfdeb7d38b11937138.jpg'}, {'id': 1793944881, 'url': 'http://p0.meituan.net/shaitu/160fbfaa9ac74140f484d8d4c61c86d1174167.jpg'}]"
想改善的问题来鹏程医院是在美团上看到了一个除皱的项目因为自己就是想改善一下鱼尾纹的问题然后正好看到这个医院做活动因为真的性价比很高就买了一个来体验一下期待效果噢商户服务医院的服务真的特别棒因为我是第一次来嘛在这边今天还打了水光针体验感很好服务很贴心医生操作医生操作很好水光针的医生也打的很好然后除皱的医生医生反正就是特别专业值得推荐范主任温柔又打的好术中感受不痛噢有敷麻药刚开始还害怕会痛可以长期在这边做项目鹏程医院yyds棒棒哒,"[{'id': 1798642516, 'url': 'http://p0.meituan.net/shaitu/32b504e391e6adba7a92c73c3f81469489073.jpg'}, {'id': 1798412774, 'url': 'http://p0.meituan.net/shaitu/72398b953554593e2134800675566c9b45100.jpg'}, {'id': 1798412775, 'url': 'http://p1.meituan.net/shaitu/18bb67b7593fd56aeda54345ff97ad0589345.jpg'}, {'id': 1798321200, 'url': 'http://p0.meituan.net/shaitu/dca2d61137675f0b76047e43c5ddfd501854935.jpg'}, {'id': 1798321202, 'url': 'http://p1.meituan.net/shaitu/7d070efe1aa435cc2f0bee1da421964a102036.jpg'}, {'id': 1798476268, 'url': 'http://p0.meituan.net/shaitu/1eb753cb7263a89d51828e41e2ed9929123110.jpg'}, {'id': 1798412776, 'url': 'http://p1.meituan.net/shaitu/3515dc4332a8d7a506ac72926f3c0e45135043.jpg'}, {'id': 1798321201, 'url': 'http://p0.meituan.net/shaitu/acc38bf2f96f0a6c3868f3cc452fba6593362.jpg'}, {'id': 1798573467, 'url': 'http://p0.meituan.net/shaitu/1053045357141daadc6b8fa7f91e983f103776.jpg'}]"
第一次来鹏程语音第一次来鹏程医院做治疗，之前是在二楼做了项目，然后过来这边做治疗的，然后我选择的治疗呢是一个瘦脸，还有一个下颌线，我采用选好的乐提葆的药水。安排的是唐主任给我做治疗，他的粉丝量是很多的，也比较温商户服务很好医生操作细心术中感受项目效果有效果柔细心的一位医生。这里环境是比较大的，有几层楼服务也还不错的。想改善的问题瘦脸和下颌线,"[{'id': 1820109397, 'url': 'http://p0.meituan.net/shaitu/b248bdfd36670b4c4ed3576054f6df9d97393.jpg'}, {'id': 1820016217, 'url': 'http://p0.meituan.net/shaitu/628e3454456409070c863e74bb079520233397.jpg'}, {'id': 1820109400, 'url': 'http://p0.meituan.net/shaitu/1eaad88a520e4435518d1e4510e19b9f201812.jpg'}, {'id': 1820109398, 'url': 'http://p0.meituan.net/shaitu/886dff55fca3183b8b6d93a141602397114739.jpg'}, {'id': 1820109399, 'url': 'http://p0.meituan.net/shaitu/2400871e88a7d6605fe8849cc192c94a177787.jpg'}, {'id': 1820369657, 'url': 'http://p1.meituan.net/shaitu/e835e5b622c8550602ef9f6b03e9d999197512.jpg'}, {'id': 1820369656, 'url': 'http://p0.meituan.net/shaitu/83938140cdebdeb15593fdb4464c6148128554.jpg'}, {'id': 1820190866, 'url': 'http://p0.meituan.net/shaitu/fad0bc13cf7cd0fba75ffb796b63441e124670.jpg'}]"
阻挡不了我爱美的心情，因为离的比较近，哈哈哈哈所以去选择这个中午时间点来做项目，因为人相对会少一点，来了就能安排上的节奏，这边的服务很到位，很轻松愉悦的一种状态，没有特意的去推销项目，这点我觉得很赞，最近一直有被安利抗衰的项目，想着去做一下超声炮，然后后期再用胶原枪来慢慢维持着，再抗衰老的路上，要一直坚持希望不要留下岁月的痕迹,"[{'id': 1836421578, 'url': 'http://p1.meituan.net/shaitu/9898aa95bdf587f998548a8432482975196435.jpg'}, {'id': 1836421579, 'url': 'http://p0.meituan.net/shaitu/df0664bb478590988a0355afa97d2c00129274.jpg'}, {'id': 1836739217, 'url': 'http://p1.meituan.net/shaitu/df40a2861b12018a1b20941608529a54100369.jpg'}, {'id': 1836684218, 'url': 'http://p0.meituan.net/shaitu/8b6bd9f0eb3bb855168646d98a2bb49e183031.jpg'}, {'id': 1836684217, 'url': 'http://p0.meituan.net/shaitu/ede0a4ba3dcc016ed968a7a137e637141916149.jpg'}, {'id': 1836590877, 'url': 'http://p0.meituan.net/shaitu/bb8f2df38c7210c125909e64003e7131114091.jpg'}]"
嗯，我是鹏程医院的老顾客了，这次过来是想改善的问题要做多项目做一个玻尿酸填充以及还有瘦脸口角，嗯等等好几个部位，我这次过来就是指定唐主任来帮我做治疗了，我相信他的技术，我朋友也是在这边做的。以后都会过来这边做项目，还有我朋友们。商户服务挺好的。医生操作唐主任。术中感受先面诊，之后再做麻药。,"[{'id': 1824944551, 'url': 'http://p0.meituan.net/shaitu/ba40b1847da56482766f8e35988113c572146.jpg'}, {'id': 1824944550, 'url': 'http://p1.meituan.net/shaitu/9333086d30010bc6d89a8bf3620ea3b9118353.jpg'}, {'id': 1824713129, 'url': 'http://p0.meituan.net/shaitu/2551ea87fadd8c72e8e5d74fbc37624695335.jpg'}, {'id': 1824627968, 'url': 'http://p0.meituan.net/shaitu/e51f2ad2707342fdc742a2317c4c075c121492.jpg'}, {'id': 1824805072, 'url': 'http://p0.meituan.net/shaitu/ba8857a3a0c3ea35f4fe72ff9d7aa2a5104577.jpg'}, {'id': 1824944549, 'url': 'http://p0.meituan.net/shaitu/b72c7b5d8bfdb6152b8c6a8dc9e3c3e1139436.jpg'}, {'id': 1824900104, 'url': 'http://p1.meituan.net/shaitu/cc36af3c8f3d80848e89b36437cdcbe2116817.jpg'}, {'id': 1824627971, 'url': 'http://p0.meituan.net/shaitu/029ec10068c073f8ff8c0675f9e05b9576099.jpg'}]"
今天做了抑黑护理和m22全模式，我主要想亮肤祛痘，之前做过1次，感觉效果都挺好的，但是要按照疗程做效果更好。今天的整个体验过程很好，前台接待也热情，抑黑护理做完感觉白了许多，m22安排了池医生给我治疗操作，池医生的手法很专业，治疗过程，医生过程常询问是否能接受，术后再三嘱咐做完之后要多补水多敷面膜，严格防晒，整体感觉各个方面都很专业。,"[{'id': 1826406320, 'url': 'http://p1.meituan.net/shaitu/07890c57dd9fe82978cf4bfe9b606162193701.jpg'}, {'id': 1826406319, 'url': 'http://p0.meituan.net/shaitu/3e29f81c79182481196220019e949d53206921.jpg'}, {'id': 1826406318, 'url': 'http://p1.meituan.net/shaitu/f052ed0f5733eba9e7ac1f21ae73915b225582.jpg'}, {'id': 1826457867, 'url': 'http://p1.meituan.net/shaitu/69175d49b496c6193d1b2691f4ec833d352563.jpg'}, {'id': 1826534262, 'url': 'http://p1.meituan.net/shaitu/d7f967261ca60908113114a834c9bd27259904.jpg'}, {'id': 1826227533, 'url': 'http://p0.meituan.net/shaitu/c64eb32832745f4bd758ff11615461df287110.jpg'}]"
上次有在鹏程医院打过瘦腿针今天就在美团上买了一个水光针补一下水水体验感很好一打医院小姐姐就帮我核销啦然后帮我送到了皮肤科敷了麻药都没有等很快就帮我安排了打完之后很贴心的帮我敷了一个医用面膜真的性价比很高很划算可以推荐给身边的朋友主要是也太划算了真的打的很好很温柔医生也很专业强烈推荐鹏程医院,"[{'id': 1805473141, 'url': 'http://p0.meituan.net/shaitu/1c736406fff9dbe7f65f81e66bbe7b281871975.jpg'}, {'id': 1805209831, 'url': 'http://p0.meituan.net/shaitu/07f71c5c171ec0a05c39c63e1bedbe941848108.jpg'}, {'id': 1805473143, 'url': 'http://p0.meituan.net/shaitu/ff0a55e1298d0d7782dbba839f957d2a1934698.jpg'}, {'id': 1805473144, 'url': 'http://p1.meituan.net/shaitu/9a8c7f9a9f5038920df75498f5bffb5b1738750.jpg'}, {'id': 1805473142, 'url': 'http://p0.meituan.net/shaitu/b49ad17e40e81f21768471b1d7a9a1f3127463.jpg'}, {'id': 1805303306, 'url': 'http://p0.meituan.net/shaitu/448183083e4a34496cf8d329dcdc11691729580.jpg'}, {'id': 1805209832, 'url': 'http://p0.meituan.net/shaitu/e5167e3bf9e349ab96f92a459bddd9571599021.jpg'}, {'id': 1805570469, 'url': 'http://p0.meituan.net/shaitu/48b5d638a0a3d0d44e9b33e6d941d07b1899798.jpg'}, {'id': 1805570468, 'url': 'http://p0.meituan.net/shaitu/38c5a83326ed49e8e682e46c4d26eafc1456934.jpg'}]"
商户服务是鹏程医院做了好多次项目是朋友推荐给我们的我这次也是带朋友一起来因为觉得鹏程医院真的挺好的服务什么的都挺好想改善的问题主要是想改善黑眼圈和眼部的皱纹在这边打过几次了效果挺好的医生操作医生操作真的超级细心超级温柔一点都不痛真的强烈推荐唐主任术中感受有敷麻药的不痛的术中感觉良好可以推荐给身边朋友棒棒哒唐主任好好医院很好,"[{'id': 1796957372, 'url': 'http://p1.meituan.net/shaitu/b3b733f79c945dd601ed24a4fd14c4ae68924.jpg'}, {'id': 1797056521, 'url': 'http://p0.meituan.net/shaitu/afaca1422d79bebcdadf2f5b589c974e54804.jpg'}, {'id': 1796957373, 'url': 'http://p0.meituan.net/shaitu/a6ad7aaf5a3dd4c7b4b329872931cf3043264.jpg'}, {'id': 1796732326, 'url': 'http://p1.meituan.net/shaitu/dd59d23119d1d4913e364ab075c45a6959652.jpg'}, {'id': 1796812403, 'url': 'http://p0.meituan.net/shaitu/90d5767cd91119bd464a26ee2c05ce2173395.jpg'}, {'id': 1797056522, 'url': 'http://p1.meituan.net/shaitu/f9fa58d899c44f9f7a847e6c98a9a4d993721.jpg'}, {'id': 1797056523, 'url': 'http://p0.meituan.net/shaitu/0a6e35d48a4a6affc812894f6a63526d56121.jpg'}, {'id': 1797056520, 'url': 'http://p0.meituan.net/shaitu/fe340a71d9be4bc9be9040f276f307bf48673.jpg'}, {'id': 1796895562, 'url': 'http://p0.meituan.net/shaitu/8af475a05b4083896a4108bea33a039865963.jpg'}]"
体验前变美诉求因为经常熬夜，脸上的皮肤状态很差，在美团上看到鹏程，今天比较闲就过来啦，预约了来面诊咨询，给我推荐了微针。项目体验过程服务的小姐姐很热情，一直和我聊天，机器头是当面拆开的这点比较放心，操作医生是严医生，全程很专业开始，一开始小姐姐会把麻药厚厚的在脸上涂一层，然后拿滚针作的严医生非常细心和专业，虽然之前敷了麻药但是还是比较疼做完之后必须要敷医疗面膜医疗面膜一敷上就没有那么痛了，非常清爽体验后效果整个过程都是无菌操作，很放心，虽然脸还是红肿的状态一次不错的体验,"[{'id': 1784609271, 'url': 'http://p0.meituan.net/shaitu/b14fcdc993c1c4bab3be8b6f88f10c69361803.jpg'}, {'id': 1784518438, 'url': 'http://p1.meituan.net/shaitu/3f52a52d903a77e0c0dadaba38d9c74a242620.jpg'}, {'id': 1784679159, 'url': 'http://p0.meituan.net/shaitu/cc78ba3bdfa6e9cfb7e57b9c464b5e12384949.jpg'}, {'id': 1784426660, 'url': 'http://p1.meituan.net/shaitu/e56a85e280baa21e0fc7859463c59d41190327.jpg'}, {'id': 1784609270, 'url': 'http://p0.meituan.net/shaitu/a78a04b2c4629530b6b674b9db54c0ee214185.jpg'}, {'id': 1784609272, 'url': 'http://p0.meituan.net/shaitu/57ed3131149aab3f6b8257dfbfd5749d217344.jpg'}]"
